$Well : 150
DEPTH      GR         CALI       NPHI       RHOB       LLS        LLD        DT         PayFlag    PERM_core  PHI_core   PHIE       ResFlag    SW_core    SW         VCL_core   VWCL       
M          GAPI       IN         V/V        G/C3       OHMM       OHMM       us/f                                        Dec                              Dec                   Dec        
$Format : 11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
3286.7680  103.8214   12.3519    0.1314     2.5664     6.3983     6.1682     76.1380    0.0000     -999.0000  -999.0000  0.0825     0.0000     -999.0000  1.0000     -999.0000  0.2525     
3286.9204  97.7533    12.2540    0.1429     2.5043     4.2469     4.1260     76.4584    0.0000     -999.0000  -999.0000  0.1143     0.0000     -999.0000  0.9828     -999.0000  0.1811     
3287.0728  91.5197    12.2014    0.1497     2.4594     3.4791     3.3537     76.3467    0.0000     -999.0000  -999.0000  0.1315     0.0000     -999.0000  0.8891     -999.0000  0.1412     
3287.2252  90.0516    12.2159    0.1571     2.4446     3.4542     3.3322     76.5657    0.0000     -999.0000  -999.0000  0.1344     0.0000     -999.0000  0.8587     -999.0000  0.1579     
3287.3776  91.6002    12.2123    0.1641     2.4481     3.4049     3.2763     76.8741    0.0000     -999.0000  -999.0000  0.1312     0.0000     -999.0000  0.8715     -999.0000  0.1857     
3287.5300  98.9442    12.2136    0.1637     2.4577     3.5863     3.4567     76.8138    0.0000     -999.0000  -999.0000  0.1235     0.0000     -999.0000  0.8676     -999.0000  0.1987     
3287.6824  110.6162   12.2158    0.1574     2.4828     4.2642     4.1008     76.6457    0.0000     -999.0000  -999.0000  0.1057     0.0000     -999.0000  0.8750     -999.0000  0.2317     
3287.8348  118.6669   12.2503    0.1474     2.5219     5.7986     5.5997     76.6543    0.0000     -999.0000  -999.0000  0.0830     0.0000     -999.0000  0.8984     -999.0000  0.2762     
3287.9872  121.6559   12.3271    0.1439     2.5596     6.4119     6.2549     76.7104    0.0000     -999.0000  -999.0000  0.0673     0.0000     -999.0000  1.0000     -999.0000  0.3287     
3288.1396  120.0579   12.3749    0.1462     2.5703     5.9534     5.8544     77.0120    0.0000     -999.0000  -999.0000  0.0688     0.0000     -999.0000  1.0000     -999.0000  0.3454     
3288.2920  116.4399   12.3839    0.1628     2.5629     5.3440     5.2399     77.0694    0.0000     -999.0000  -999.0000  0.0753     0.0000     -999.0000  1.0000     -999.0000  0.3874     
3288.4444  117.4680   12.3551    0.1715     2.5654     5.3484     5.2524     77.2144    0.0000     -999.0000  -999.0000  0.0704     0.0000     -999.0000  1.0000     -999.0000  0.4125     
3288.5968  118.9774   12.3497    0.1714     2.5831     5.5575     5.4883     77.2932    0.0000     -999.0000  -999.0000  0.0596     0.0000     -999.0000  1.0000     -999.0000  0.4398     
3288.7492  121.7828   12.3461    0.1663     2.5966     5.6482     5.6025     77.3138    0.0000     -999.0000  -999.0000  0.0552     0.0000     -999.0000  1.0000     -999.0000  0.4351     
